File Name | z3-4.8.7 (s/e) | z3-4.8.8 (s/e) | z3-4.8.9 (s/e)
--------------------------------------------------------------------------------
z3str39.smt2 | z3-4.8.7 (20.01/124) | z3-4.8.8 (0.15/0) | z3-4.8.9 (20.01/124)
z3str34.smt2 | z3-4.8.7 (0.04/1) | z3-4.8.8 (0.03/1) | z3-4.8.9 (20.02/124)
z3str317.smt2 | z3-4.8.7 (0.04/0) | z3-4.8.8 (4.29/0) | z3-4.8.9 (10.69/0)
z3str315.smt2 | z3-4.8.7 (0.02/1) | z3-4.8.8 (0.14/1) | z3-4.8.9 (20.01/124)
z3str314.smt2 | z3-4.8.7 (0.03/1) | z3-4.8.8 (20.30/124) | z3-4.8.9 (20.30/124)
z3str32.smt2 | z3-4.8.7 (20.03/124) | z3-4.8.8 (0.22/1) | z3-4.8.9 (20.01/124)
z3str37.smt2 | z3-4.8.7 (0.04/1) | z3-4.8.8 (0.07/1) | z3-4.8.9 (20.01/124)
z3str38.smt2 | z3-4.8.7 (7.01/1) | z3-4.8.8 (0.03/1) | z3-4.8.9 (20.01/124)
z3str316.smt2 | z3-4.8.7 (0.03/0) | z3-4.8.8 (0.03/0) | z3-4.8.9 (20.03/124)
z3str313.smt2 | z3-4.8.7 (0.20/1) | z3-4.8.8 (20.02/124) | z3-4.8.9 (20.02/124)
z3str312.smt2 | z3-4.8.7 (20.00/124) | z3-4.8.8 (0.02/1) | z3-4.8.9 (20.02/124)
z3str31.smt2 | z3-4.8.7 (0.03/1) | z3-4.8.8 (0.03/1) | z3-4.8.9 (20.01/124)
z3str311.smt2 | z3-4.8.7 (20.02/124) | z3-4.8.8 (0.15/1) | z3-4.8.9 (20.02/124)
z3str35.smt2 | z3-4.8.7 (20.00/124) | z3-4.8.8 (0.09/1) | z3-4.8.9 (20.03/124)
z3str36.smt2 | z3-4.8.7 (20.03/124) | z3-4.8.8 (0.18/1) | z3-4.8.9 (20.01/124)
z3str310.smt2 | z3-4.8.7 (0.08/1) | z3-4.8.8 (0.26/1) | z3-4.8.9 (20.01/124)
z3str33.smt2 | z3-4.8.7 (20.01/124) | z3-4.8.8 (0.10/1) | z3-4.8.9 (20.02/124)
